state,end_date,sample_size,candidate_name,pct
National,2024-09-17,6152,Donald Trump,45
National,2024-09-16,1102,Kamala Harris,50
National,2024-09-16,1102,Donald Trump,48
National,2024-09-16,876,Kamala Harris,50
National,2024-09-16,876,Donald Trump,48
Pennsylvania,2024-09-16,1331,Kamala Harris,51
Pennsylvania,2024-09-16,1331,Donald Trump,45
Pennsylvania,2024-09-16,1331,Kamala Harris,51
Pennsylvania,2024-09-16,1331,Donald Trump,46
Michigan,2024-09-16,905,Kamala Harris,50
Michigan,2024-09-16,905,Donald Trump,45
Michigan,2024-09-16,905,Kamala Harris,51
Michigan,2024-09-16,905,Donald Trump,46
Wisconsin,2024-09-16,1075,Kamala Harris,48
Wisconsin,2024-09-16,1075,Donald Trump,47
Wisconsin,2024-09-16,1075,Kamala Harris,49
Wisconsin,2024-09-16,1075,Donald Trump,48
Rhode Island,2024-09-16,683,Kamala Harris,58
Rhode Island,2024-09-16,683,Donald Trump,38
Massachusetts,2024-09-16,564,Kamala Harris,62
Massachusetts,2024-09-16,564,Donald Trump,31
New Hampshire,2024-09-16,1695,Kamala Harris,54
New Hampshire,2024-09-16,1695,Donald Trump,43
Pennsylvania,2024-09-16,1003,Kamala Harris,48
Pennsylvania,2024-09-16,1003,Donald Trump,47
Pennsylvania,2024-09-16,1003,Kamala Harris,48
Pennsylvania,2024-09-16,1003,Donald Trump,48
National,2024-09-16,2437,Kamala Harris,47
National,2024-09-16,2437,Donald Trump,47
National,2024-09-16,2437,Kamala Harris,46
National,2024-09-16,2437,Donald Trump,47
National,2024-09-16,2437,Kamala Harris,45
National,2024-09-16,2437,Donald Trump,46
National,2024-09-16,2437,Kamala Harris,46
National,2024-09-16,2437,Donald Trump,46
New York,2024-09-16,1003,Kamala Harris,52
New York,2024-09-16,1003,Donald Trump,40
New York,2024-09-16,1003,Kamala Harris,55
New York,2024-09-16,1003,Donald Trump,42
Pennsylvania,2024-09-16,1082,Kamala Harris,50
Pennsylvania,2024-09-16,1082,Donald Trump,46
Pennsylvania,2024-09-16,1082,Kamala Harris,50
Pennsylvania,2024-09-16,1082,Donald Trump,46
Pennsylvania,2024-09-16,1082,Kamala Harris,48
Pennsylvania,2024-09-16,1082,Donald Trump,45
Pennsylvania,2024-09-16,1082,Kamala Harris,49
Pennsylvania,2024-09-16,1082,Donald Trump,45
Pennsylvania,2024-09-14,500,Kamala Harris,48.6
Pennsylvania,2024-09-14,500,Donald Trump,45.6
National,2024-09-13,1283,Kamala Harris,50
National,2024-09-13,1283,Donald Trump,46
Maryland,2024-09-13,890,Kamala Harris,65.3
Maryland,2024-09-13,890,Donald Trump,33.3
Missouri,2024-09-13,850,Kamala Harris,43.4
Missouri,2024-09-13,850,Donald Trump,55.2
